Level,Model,Feature,MeanAbsSHAP,MedianAbsSHAP,StdAbsSHAP,ContributionShare
Mesh,lightgbm,mesh_median_ppsqm_ma4q,211319.91651352745,177910.0301088525,194386.91944018123,0.466183599248217
Mesh,lightgbm,mesh_median_ppsqm_lag1,103302.6988930176,90515.21692664865,86737.88522936459,0.2278915531320445
Mesh,lightgbm,mesh_median_ppsqm_growth_qoq,58617.63770281414,43194.78596763155,71383.07721947496,0.129313799544193
Mesh,lightgbm,mesh_median_ppsqm_lag4,33659.714498260844,25421.816219213804,67011.83239410177,0.0742552198266752
Mesh,lightgbm,mesh_median_ppsqm_growth_yoy,28524.558817683293,17832.3343592439,68437.32770335715,0.0629267781096431
Mesh,lightgbm,mesh_median_ppsqm_std4q,4333.1308357252055,1718.834953814457,38618.16621164741,0.0095591298839193
Mesh,lightgbm,MeshHedonicIndex,3572.753618656308,235.3864684034766,38369.18265381797,0.0078816950557789
Mesh,lightgbm,mesh_avg_age,2721.500853510506,1246.3452908831978,11902.831103268398,0.0060037836668623
Mesh,lightgbm,mesh_avg_area,2686.6709051954103,1004.8945298873688,23243.31004188339,0.0059269468455392
Mesh,lightgbm,TimeTrend,1430.1660063656602,434.4928564408472,11111.506904596026,0.0031550264990158
Mesh,lightgbm,Ward_encoded,1266.6708826259182,612.1166808999474,12702.258465767358,0.0027943470774921
Mesh,lightgbm,WardHedonicIndex,971.7064893039668,303.86144273554453,6944.733661819871,0.0021436390666356
Mesh,lightgbm,mesh_transaction_count,890.4950371407396,122.48926194021026,11121.226847380449,0.0019644820439836
Mesh,lightgbm,WardHedonicIndex_missing,0.0,0.0,0.0,0.0
Mesh,lightgbm,MeshHedonicIndex_missing,0.0,0.0,0.0,0.0
Mesh,linearregression,mesh_median_ppsqm_ma4q,347192.0508117356,310065.04735611007,234744.24219064345,0.6483035779057107
Mesh,linearregression,mesh_median_ppsqm_lag4,55321.0220563889,46817.18244859403,41856.55821190624,0.1032996476984587
Mesh,linearregression,mesh_median_ppsqm_growth_qoq,44978.13228723616,30139.275047657204,42729.61774451612,0.0839866120815745
Mesh,linearregression,mesh_median_ppsqm_lag1,40405.76933407884,35251.62380452536,27169.836565571102,0.075448745920512
Mesh,linearregression,mesh_median_ppsqm_growth_yoy,18477.755920843403,13800.673805497836,15525.861043132956,0.0345030804914566
Mesh,linearregression,mesh_median_ppsqm_std4q,13458.71559248366,12628.890831950304,11387.037524631576,0.0251311441383023
Mesh,linearregression,mesh_transaction_count,6511.399620839796,5342.686868381295,5884.596549630129,0.0121585838774095
Mesh,linearregression,MeshHedonicIndex,2537.9325363653275,1975.957684648919,2500.3806057954757,0.0047390219331408
Mesh,linearregression,TimeTrend,2196.443432918468,2500.831909964513,830.8452994028638,0.0041013673351659
Mesh,linearregression,Ward_encoded,1626.2493239295725,1608.2893207083616,1023.2213643608796,0.0030366572414469
Mesh,linearregression,mesh_avg_area,1542.789761342451,1511.0337576615243,1235.886470285005,0.0028808151566147
Mesh,linearregression,mesh_avg_age,1235.2485150996376,849.3429962284272,1068.3339734389267,0.0023065505966208
Mesh,linearregression,WardHedonicIndex,55.80085236514301,41.92613359675124,54.59229923659172,0.0001041956235862
Mesh,linearregression,WardHedonicIndex_missing,2.90834023530806e-13,0.0,1.120614222007757e-12,5.430675546600445e-19
Mesh,linearregression,MeshHedonicIndex_missing,1.8531842727043119e-13,0.0,7.925035313070259e-13,3.4604075516817322e-19
Mesh,randomforest,mesh_median_ppsqm_ma4q,296002.4026496834,263686.7968194236,228856.0434264707,0.6748823236651079
Mesh,randomforest,mesh_median_ppsqm_growth_qoq,57358.374787862114,43025.34027424933,61336.65305747135,0.1307764832716567
Mesh,randomforest,mesh_median_ppsqm_lag1,45655.27796714136,45449.39322623804,28372.730197455447,0.104093547235515
Mesh,randomforest,mesh_median_ppsqm_growth_yoy,19793.966212699157,8637.567823576272,69735.67358353751,0.0451300320287766
Mesh,randomforest,mesh_median_ppsqm_lag4,11043.214908768452,6591.135745908928,21518.960919633097,0.0251784123089812
Mesh,randomforest,mesh_median_ppsqm_std4q,5754.170637298917,4357.451154993672,14583.0975291727,0.0131194477332056
Mesh,randomforest,mesh_avg_area,787.8494098004086,425.4669187062101,4414.633187984307,0.0017962882585569
Mesh,randomforest,MeshHedonicIndex,730.5847096570055,167.40137798102865,5005.120178826743,0.0016657253524764
Mesh,randomforest,TimeTrend,565.393108051762,224.21663017210463,1607.265361704298,0.0012890902611956
Mesh,randomforest,mesh_avg_age,362.0348378216117,180.7440005148412,1090.8154930017763,0.0008254355721765
Mesh,randomforest,mesh_transaction_count,290.2687499025231,110.50070099052144,1216.968062015967,0.0006618096565027
Mesh,randomforest,WardHedonicIndex,176.98592149490332,39.57174695187945,1075.6483601126424,0.000403526014942
Mesh,randomforest,Ward_encoded,78.01731241449104,27.784873857287728,229.14866293505503,0.0001778786409065
Mesh,randomforest,WardHedonicIndex_missing,0.0,0.0,0.0,0.0
Mesh,randomforest,MeshHedonicIndex_missing,0.0,0.0,0.0,0.0
Mesh,torchlstm,mesh_median_ppsqm,0.1218986992252553,0.1229305686620136,0.0749707365881949,0.4811165286905131
Mesh,torchlstm,mesh_median_ppsqm_ma4q,0.0580294099026332,0.0611352099003852,0.0235357209328747,0.229033684787093
Mesh,torchlstm,mesh_median_ppsqm_lag1,0.0519922649279351,0.0521717234951211,0.0301257084120419,0.2052059470680809
Mesh,torchlstm,mesh_median_ppsqm_growth_qoq,0.0132993759834562,0.0085247580936993,0.0277972871950246,0.0524907127604916
Mesh,torchlstm,mesh_avg_age,0.0056576841557492,0.0037048845260869,0.0071005330478371,0.0223300607696513
Mesh,torchlstm,mesh_transaction_count,0.001979036243739,0.0014691385372316,0.0016297843217303,0.0078109697133108
Mesh,torchlstm,mesh_avg_area,0.0005097973072913,0.0003639194661673,0.0010237879489214,0.0020120962108592
Ward,lightgbm,MedianPriceSqM_ma4q,249176.83042212785,263196.7726269888,139663.00257309654,0.6552914572183977
Ward,lightgbm,MedianPriceSqM_lag1,86900.47627939239,93976.0697169554,39668.556063219374,0.2285330447362448
Ward,lightgbm,MedianPriceSqM_lag4,16600.598744065035,15586.90585367916,7021.431347909044,0.0436566695357171
Ward,lightgbm,MedianPriceSqM_growth_qoq,14074.45691267646,12550.440449888529,10841.336068620609,0.0370133586025672
Ward,lightgbm,MedianPriceSqM_growth_yoy,5659.674938621783,4982.504535602409,4336.096394051037,0.0148839546262346
Ward,lightgbm,TimeTrend,2520.2277849840543,1197.502937224558,3542.596813253597,0.0066277580260842
Ward,lightgbm,AvgArea,1542.0726671930863,962.9351308490524,1756.938111100933,0.0040553812467625
Ward,lightgbm,MedianPriceSqM_std4q,1123.9304149664124,812.2069915341983,1145.2210836339464,0.0029557402997209
Ward,lightgbm,AvgBuildingAge,955.4217822652388,629.115146339253,882.2753313656739,0.0025125920853
Ward,lightgbm,TransactionCount,770.1480012383325,562.1248028110292,952.3695754626934,0.0020253544647403
Ward,lightgbm,Ward_encoded,342.2841647489805,218.8018315824332,314.4069291394187,0.0009001474523982
Ward,lightgbm,ActiveMeshes,256.3894303874845,193.35283956968863,240.49256700299424,0.0006742593328977
Ward,lightgbm,Q_4,176.82230114844018,137.4527782181573,153.6230025315508,0.000465011707517
Ward,lightgbm,Q_2,80.31287088233154,50.25575092741448,100.24721587654342,0.0002112087953952
Ward,lightgbm,Q_3,73.79269353388045,51.8044948157745,77.90899238862023,0.000194061870022
Ward,linearregression,MedianPriceSqM_ma4q,333146.10354162427,342538.98881909257,173993.3188792262,0.6712225328797065
Ward,linearregression,MedianPriceSqM_lag1,87919.97044092053,90789.0463533294,45503.66158963688,0.1771410940206006
Ward,linearregression,MedianPriceSqM_lag4,46315.78024093341,49478.679612094646,24280.42354931612,0.0933170011449193
Ward,linearregression,MedianPriceSqM_growth_qoq,13392.95052968242,8701.298650806895,14561.032078579565,0.0269841072181198
Ward,linearregression,TimeTrend,5718.742143126967,5827.943283673835,465.362078610135,0.0115221176096271
Ward,linearregression,AvgBuildingAge,3227.06456814826,3310.266154649721,1902.1652625243808,0.0065018874006677
Ward,linearregression,TransactionCount,2608.3766488380084,1842.0484955860425,2611.2777640530685,0.0052553554201139
Ward,linearregression,ActiveMeshes,1530.4595890501853,1216.0416205051615,1176.893394246266,0.0030835688933817
Ward,linearregression,AvgArea,1148.266852532762,932.3633835746778,830.4960198789687,0.0023135272392058
Ward,linearregression,Q_4,447.7363804447792,282.13525343097035,286.82956577860944,0.0009020989414243
Ward,linearregression,Q_3,326.8673989220745,251.79514203364036,162.99992743779418,0.0006585722032701
Ward,linearregression,MedianPriceSqM_std4q,269.0855791400133,230.18193085243,216.00271340662923,0.0005421534337987
Ward,linearregression,Ward_encoded,205.45220729631563,201.92016566830355,129.47818340309828,0.0004139449613881
Ward,linearregression,Q_2,68.77725201916357,43.6680965201158,39.52807055581867,0.0001385723585359
Ward,linearregression,MedianPriceSqM_growth_yoy,1.7204072172446871,1.1665430190469124,1.902721582451539,3.466275239803984e-06
Ward,randomforest,MedianPriceSqM_ma4q,329470.3980705694,340367.0313979573,176206.90573369572,0.8688235850922759
Ward,randomforest,MedianPriceSqM_lag1,18416.62623239569,15294.551979737387,8683.417288395885,0.0485652104778993
Ward,randomforest,MedianPriceSqM_lag4,14032.488861720174,9713.74071326335,7667.510791920924,0.0370041052307096
Ward,randomforest,MedianPriceSqM_growth_qoq,9231.525924454229,9039.574209703567,6214.490087806624,0.0243438181291136
Ward,randomforest,MedianPriceSqM_growth_yoy,5105.832346557256,4561.340441649524,4026.06427853351,0.0134642371217392
Ward,randomforest,MedianPriceSqM_std4q,800.3195775697185,520.6419857700124,892.6291066942697,0.0021104673702877
Ward,randomforest,TimeTrend,448.5997683076609,273.14103320155994,462.65986142478783,0.0011829714027575
Ward,randomforest,AvgBuildingAge,414.7322426083397,328.43034471519263,420.4788086386618,0.0010936616946058
Ward,randomforest,AvgArea,392.3406182951745,226.01076075733263,470.7052069923642,0.0010346142917869
Ward,randomforest,TransactionCount,251.30405402351423,206.085869233362,211.9247816645561,0.0006626965288643
Ward,randomforest,ActiveMeshes,251.28493283494615,134.456949571603,299.9737097294884,0.0006626461057013
Ward,randomforest,Q_2,125.58903414485226,60.84312639235996,232.79426409700773,0.0003311821503024
Ward,randomforest,Ward_encoded,115.07727641791472,49.74868179917766,220.0166652543052,0.0003034623214879
Ward,randomforest,Q_4,114.6350176004002,52.99648731118308,236.1561163240652,0.0003022960713677
Ward,randomforest,Q_3,43.62710189274798,26.2919002611305,48.97773906474605,0.0001150460111002
Ward,torchlstm,MedianPriceSqM_ma4q,0.2042105620086658,0.139526640297845,0.1575092221873031,0.4750003816605137
Ward,torchlstm,MedianPriceSqM,0.1966342213453117,0.1361533614981454,0.1492245673594797,0.4573775678780877
Ward,torchlstm,ActiveMeshes,0.0109550987237412,0.0113397161694592,0.0067511902726988,0.0254819144696583
Ward,torchlstm,TransactionCount,0.0084194843182295,0.0078099306465446,0.0055247578060436,0.0195839932332884
Ward,torchlstm,MedianPriceSqM_lag1,0.0071240797917198,0.0047336345305666,0.0050996471054078,0.0165708403461681
Ward,torchlstm,AvgBuildingAge,0.001986852763293,0.0017333472834479,0.0014599539921097,0.00462148388205
Ward,torchlstm,MedianPriceSqM_growth_qoq,0.0005863282626493,0.0003795065872509,0.0006213534858343,0.0013638185302332
